OBJECTID *,Symbol,Description,Symbol_Description,FGDCPageNumber,AzimuthMeasurementConvention,PointOfObservation,FGDC_Symbols_ID,created_user,created_date,last_edited_user,last_edited_date
16,01.01.16,Internal contact—Identity or existence are questionable. Location is concealed.,01.01.16 Internal contact—Identity or existence are questionable. Location is concealed.,A-1-1,not applicable,not applicable,FGDC0016,ADUNN,1/19/2024 21:46,ADUNN,4/5/2024 15:20
17,01.01.17,Gradational contact—Identity and existence are certain. Location is accurate.,01.01.17 Gradational contact—Identity and existence are certain. Location is accurate.,A-1-1,not applicable,not applicable,FGDC0017,ADUNN,1/19/2024 21:46,ADUNN,4/5/2024 15:20
18,01.01.18,Gradational contact—Identity or existence are questionable. Location is accurate.,01.01.18 Gradational contact—Identity or existence are questionable. Location is accurate.,A-1-1,not applicable,not applicable,FGDC0018,ADUNN,1/19/2024 21:46,ADUNN,4/5/2024 15:20
19,01.01.19,Gradational contact—Identity and existence are certain. Location is approximate.,01.01.19 Gradational contact—Identity and existence are certain. Location is approximate.,A-1-1,not applicable,not applicable,FGDC0019,ADUNN,1/19/2024 21:46,ADUNN,4/5/2024 15:20
20,01.01.20,Gradational contact—Identity or existence are questionable. Location is approximate.,01.01.20 Gradational contact—Identity or existence are questionable. Location is approximate.,A-1-1,not applicable,not applicable,FGDC0020,ADUNN,1/19/2024 21:46,ADUNN,4/5/2024 15:20
21,01.01.21,Gradational contact—Identity and existence are certain. Location is inferred.,01.01.21 Gradational contact—Identity and existence are certain. Location is inferred.,A-1-1,not applicable,not applicable,FGDC0021,ADUNN,1/19/2024 21:46,ADUNN,4/5/2024 15:20
22,01.01.22,Gradational contact—Identity or existence are questionable. Location is inferred.,01.01.22 Gradational contact—Identity or existence are questionable. Location is inferred.,A-1-1,not applicable,not applicable,FGDC0022,ADUNN,1/19/2024 21:46,ADUNN,4/5/2024 15:20
23,01.01.23,Gradational contact—Identity and existence are certain. Location is concealed.,01.01.23 Gradational contact—Identity and existence are certain. Location is concealed.,A-1-1,not applicable,not applicable,FGDC0023,ADUNN,1/19/2024 21:46,ADUNN,4/5/2024 15:20
24,01.01.24,Gradational contact—Identity or existence are questionable. Location is concealed.,01.01.24 Gradational contact—Identity or existence are questionable. Location is concealed.,A-1-1,not applicable,not applicable,FGDC0024,ADUNN,1/19/2024 21:46,ADUNN,4/5/2024 15:20
25,01.01.25,Unconformable contact—Identity and existence are certain. Location is accurate.,01.01.25 Unconformable contact—Identity and existence are certain. Location is accurate.,A-1-2,not applicable,not applicable,FGDC0025,ADUNN,1/19/2024 21:46,ADUNN,4/5/2024 15:20
26,01.01.26,Unconformable contact—Identity or existence are questionable. Location is accurate.,01.01.26 Unconformable contact—Identity or existence are questionable. Location is accurate.,A-1-2,not applicable,not applicable,FGDC0026,ADUNN,1/19/2024 21:46,ADUNN,4/5/2024 15:20
27,01.01.27,Unconformable contact—Identity and existence are certain. Location is approximate.,01.01.27 Unconformable contact—Identity and existence are certain. Location is approximate.,A-1-2,not applicable,not applicable,FGDC0027,ADUNN,1/19/2024 21:46,ADUNN,4/5/2024 15:20
28,01.01.28,Unconformable contact—Identity or existence are questionable. Location is approximate.,01.01.28 Unconformable contact—Identity or existence are questionable. Location is approximate.,A-1-2,not applicable,not applicable,FGDC0028,ADUNN,1/19/2024 21:46,ADUNN,4/5/2024 15:20
29,01.01.29,Unconformable contact—Identity and existence are certain. Location is inferred.,01.01.29 Unconformable contact—Identity and existence are certain. Location is inferred.,A-1-2,not applicable,not applicable,FGDC0029,ADUNN,1/19/2024 21:46,ADUNN,4/5/2024 15:20
30,01.01.30,Unconformable contact—Identity or existence are questionable. Location is inferred.,01.01.30 Unconformable contact—Identity or existence are questionable. Location is inferred.,A-1-2,not applicable,not applicable,FGDC0030,ADUNN,1/19/2024 21:46,ADUNN,4/5/2024 15:20
31,01.01.31,Unconformable contact—Identity and existence are certain. Location is concealed.,01.01.31 Unconformable contact—Identity and existence are certain. Location is concealed.,A-1-2,not applicable,not applicable,FGDC0031,ADUNN,1/19/2024 21:46,ADUNN,4/5/2024 15:20
32,01.01.32,Unconformable contact—Identity or existence are questionable. Location is concealed.,01.01.32 Unconformable contact—Identity or existence are questionable. Location is concealed.,A-1-2,not applicable,not applicable,FGDC0032,ADUNN,1/19/2024 21:46,ADUNN,4/5/2024 15:20
33,01.01.33,Incised-scarp sedimentary contact—Identity and existence are certain. Location is accurate. Hachures point downscarp.,01.01.33 Incised-scarp sedimentary contact—Identity and existence are certain. Location is accurate. Hachures point downscarp.,A-1-2,not applicable,not applicable,FGDC0033,ADUNN,1/19/2024 21:46,ADUNN,4/5/2024 15:20
34,01.01.34,Incised-scarp sedimentary contact—Identity or existence are questionable. Location is accurate. Hachures point downscarp.,01.01.34 Incised-scarp sedimentary contact—Identity or existence are questionable. Location is accurate. Hachures point downscarp.,A-1-2,not applicable,not applicable,FGDC0034,ADUNN,1/19/2024 21:46,ADUNN,4/5/2024 15:20
35,01.01.35,Incised-scarp sedimentary contact—Identity and existence are certain. Location is approximate. Hachures point downscarp.,01.01.35 Incised-scarp sedimentary contact—Identity and existence are certain. Location is approximate. Hachures point downscarp.,A-1-2,not applicable,not applicable,FGDC0035,ADUNN,1/19/2024 21:46,ADUNN,4/5/2024 15:20
36,01.01.36,Incised-scarp sedimentary contact—Identity or existence are questionable. Location is approximate. Hachures point downscarp.,01.01.36 Incised-scarp sedimentary contact—Identity or existence are questionable. Location is approximate. Hachures point downscarp.,A-1-2,not applicable,not applicable,FGDC0036,ADUNN,1/19/2024 21:46,ADUNN,4/5/2024 15:20
37,01.02.01,Key bed—Identity and existence are certain. Location is accurate.,01.02.01 Key bed—Identity and existence are certain. Location is accurate.,A-1-3,not applicable,not applicable,FGDC0037,ADUNN,1/19/2024 21:46,ADUNN,4/5/2024 15:20
38,01.02.02,Key bed—Identity or existence are questionable. Location is accurate.,01.02.02 Key bed—Identity or existence are questionable. Location is accurate.,A-1-3,not applicable,not applicable,FGDC0038,ADUNN,1/19/2024 21:46,ADUNN,4/5/2024 15:20
39,01.02.03,Key bed—Identity and existence are certain. Location is approximate.,01.02.03 Key bed—Identity and existence are certain. Location is approximate.,A-1-3,not applicable,not applicable,FGDC0039,ADUNN,1/19/2024 21:46,ADUNN,4/5/2024 15:20
40,01.02.04,Key bed—Identity or existence are questionable. Location is approximate.,01.02.04 Key bed—Identity or existence are questionable. Location is approximate.,A-1-3,not applicable,not applicable,FGDC0040,ADUNN,1/19/2024 21:46,ADUNN,4/5/2024 15:20
41,01.02.05,Key bed—Identity and existence are certain. Location is inferred.,01.02.05 Key bed—Identity and existence are certain. Location is inferred.,A-1-3,not applicable,not applicable,FGDC0041,ADUNN,1/19/2024 21:46,ADUNN,4/5/2024 15:20
42,01.02.06,Key bed—Identity or existence are questionable. Location is inferred.,01.02.06 Key bed—Identity or existence are questionable. Location is inferred.,A-1-3,not applicable,not applicable,FGDC0042,ADUNN,1/19/2024 21:46,ADUNN,4/5/2024 15:20
43,01.02.07,Key bed—Identity and existence are certain. Location is concealed.,01.02.07 Key bed—Identity and existence are certain. Location is concealed.,A-1-3,not applicable,not applicable,FGDC0043,ADUNN,1/19/2024 21:46,ADUNN,4/5/2024 15:20
44,01.02.08,Key bed—Identity or existence are questionable. Location is concealed.,01.02.08 Key bed—Identity or existence are questionable. Location is concealed.,A-1-3,not applicable,not applicable,FGDC0044,ADUNN,1/19/2024 21:46,ADUNN,4/5/2024 15:20
45,01.02.09,Clay or ash bed—Identity and existence are certain. Location is accurate.,01.02.09 Clay or ash bed—Identity and existence are certain. Location is accurate.,A-1-3,not applicable,not applicable,FGDC0045,ADUNN,1/19/2024 21:46,ADUNN,4/5/2024 15:20
46,01.02.10,Clay or ash bed—Identity or existence are questionable. Location is accurate.,01.02.10 Clay or ash bed—Identity or existence are questionable. Location is accurate.,A-1-3,not applicable,not applicable,FGDC0046,ADUNN,1/19/2024 21:46,ADUNN,4/5/2024 15:20
47,01.02.11,Clay or ash bed—Identity and existence are certain. Location is approximate.,01.02.11 Clay or ash bed—Identity and existence are certain. Location is approximate.,A-1-3,not applicable,not applicable,FGDC0047,ADUNN,1/19/2024 21:46,ADUNN,4/5/2024 15:20
48,01.02.12,Clay or ash bed—Identity or existence are questionable. Location is approximate.,01.02.12 Clay or ash bed—Identity or existence are questionable. Location is approximate.,A-1-3,not applicable,not applicable,FGDC0048,ADUNN,1/19/2024 21:46,ADUNN,4/5/2024 15:20
49,01.02.13,Clay or ash bed—Identity and existence are certain. Location is inferred.,01.02.13 Clay or ash bed—Identity and existence are certain. Location is inferred.,A-1-3,not applicable,not applicable,FGDC0049,ADUNN,1/19/2024 21:46,ADUNN,4/5/2024 15:20
50,01.02.14,Clay or ash bed—Identity or existence are questionable. Location is inferred.,01.02.14 Clay or ash bed—Identity or existence are questionable. Location is inferred.,A-1-3,not applicable,not applicable,FGDC0050,ADUNN,1/19/2024 21:46,ADUNN,4/5/2024 15:20
51,01.02.15,Clay or ash bed—Identity and existence are certain. Location is concealed.,01.02.15 Clay or ash bed—Identity and existence are certain. Location is concealed.,A-1-3,not applicable,not applicable,FGDC0051,ADUNN,1/19/2024 21:46,ADUNN,4/5/2024 15:20
52,01.02.16,Clay or ash bed—Identity or existence are questionable. Location is concealed.,01.02.16 Clay or ash bed—Identity or existence are questionable. Location is concealed.,A-1-3,not applicable,not applicable,FGDC0052,ADUNN,1/19/2024 21:46,ADUNN,4/5/2024 15:20
53,01.02.17,Bed of economically important commodity—Identity and existence are certain. Location is accurate.,01.02.17 Bed of economically important commodity—Identity and existence are certain. Location is accurate.,A-1-3,not applicable,not applicable,FGDC0053,ADUNN,1/19/2024 21:46,ADUNN,4/5/2024 15:20
54,01.02.18,Bed of economically important commodity—Identity or existence are questionable. Location is accurate.,01.02.18 Bed of economically important commodity—Identity or existence are questionable. Location is accurate.,A-1-3,not applicable,not applicable,FGDC0054,ADUNN,1/19/2024 21:46,ADUNN,4/5/2024 15:20
55,01.02.19,Bed of economically important commodity—Identity and existence are certain. Location is approximate.,01.02.19 Bed of economically important commodity—Identity and existence are certain. Location is approximate.,A-1-3,not applicable,not applicable,FGDC0055,ADUNN,1/19/2024 21:46,ADUNN,4/5/2024 15:20
56,01.02.20,Bed of economically important commodity—Identity or existence are questionable. Location is approximate.,01.02.20 Bed of economically important commodity—Identity or existence are questionable. Location is approximate.,A-1-3,not applicable,not applicable,FGDC0056,ADUNN,1/19/2024 21:46,ADUNN,4/5/2024 15:20
57,01.02.21,Bed of economically important commodity—Identity and existence are certain. Location is inferred.,01.02.21 Bed of economically important commodity—Identity and existence are certain. Location is inferred.,A-1-3,not applicable,not applicable,FGDC0057,ADUNN,1/19/2024 21:46,ADUNN,4/5/2024 15:20
58,01.02.22,Bed of economically important commodity—Identity or existence are questionable. Location is inferred.,01.02.22 Bed of economically important commodity—Identity or existence are questionable. Location is inferred.,A-1-3,not applicable,not applicable,FGDC0058,ADUNN,1/19/2024 21:46,ADUNN,4/5/2024 15:20
59,01.02.23,Bed of economically important commodity—Identity and existence are certain. Location is concealed.,01.02.23 Bed of economically important commodity—Identity and existence are certain. Location is concealed.,A-1-3,not applicable,not applicable,FGDC0059,ADUNN,1/19/2024 21:46,ADUNN,4/5/2024 15:20
60,01.02.24,Bed of economically important commodity—Identity or existence are questionable. Location is concealed.,01.02.24 Bed of economically important commodity—Identity or existence are questionable. Location is concealed.,A-1-3,not applicable,not applicable,FGDC0060,ADUNN,1/19/2024 21:46,ADUNN,4/5/2024 15:20
61,01.02.25,Coal bed—Identity and existence are certain. Location is accurate.,01.02.25 Coal bed—Identity and existence are certain. Location is accurate.,A-1-4,not applicable,not applicable,FGDC0061,ADUNN,1/19/2024 21:46,ADUNN,4/5/2024 15:20
62,01.02.26,Coal bed—Identity or existence are questionable. Location is accurate.,01.02.26 Coal bed—Identity or existence are questionable. Location is accurate.,A-1-4,not applicable,not applicable,FGDC0062,ADUNN,1/19/2024 21:46,ADUNN,4/5/2024 15:20
63,01.02.27,Coal bed—Identity and existence are certain. Location is approximate.,01.02.27 Coal bed—Identity and existence are certain. Location is approximate.,A-1-4,not applicable,not applicable,FGDC0063,ADUNN,1/19/2024 21:46,ADUNN,4/5/2024 15:20
64,01.02.28,Coal bed—Identity or existence are questionable. Location is approximate.,01.02.28 Coal bed—Identity or existence are questionable. Location is approximate.,A-1-4,not applicable,not applicable,FGDC0064,ADUNN,1/19/2024 21:46,ADUNN,4/5/2024 15:20
65,01.02.29,Coal bed—Identity and existence are certain. Location is inferred.,01.02.29 Coal bed—Identity and existence are certain. Location is inferred.,A-1-4,not applicable,not applicable,FGDC0065,ADUNN,1/19/2024 21:46,ADUNN,4/5/2024 15:20
66,01.02.30,Coal bed—Identity or existence are questionable. Location is inferred.,01.02.30 Coal bed—Identity or existence are questionable. Location is inferred.,A-1-4,not applicable,not applicable,FGDC0066,ADUNN,1/19/2024 21:46,ADUNN,4/5/2024 15:20
67,01.02.31,Coal bed—Identity and existence are certain. Location is concealed.,01.02.31 Coal bed—Identity and existence are certain. Location is concealed.,A-1-4,not applicable,not applicable,FGDC0067,ADUNN,1/19/2024 21:46,ADUNN,4/5/2024 15:20
68,01.02.32,Coal bed—Identity or existence are questionable. Location is concealed.,01.02.32 Coal bed—Identity or existence are questionable. Location is concealed.,A-1-4,not applicable,not applicable,FGDC0068,ADUNN,1/19/2024 21:46,ADUNN,4/5/2024 15:20
69,01.02.33,Clinkered coal bed—Identity and existence are certain. Location is accurate.,01.02.33 Clinkered coal bed—Identity and existence are certain. Location is accurate.,A-1-4,not applicable,not applicable,FGDC0069,ADUNN,1/19/2024 21:46,ADUNN,4/5/2024 15:20
70,01.02.34,Clinkered coal bed—Identity or existence are questionable. Location is accurate.,01.02.34 Clinkered coal bed—Identity or existence are questionable. Location is accurate.,A-1-4,not applicable,not applicable,FGDC0070,ADUNN,1/19/2024 21:46,ADUNN,4/5/2024 15:20
71,01.02.35,Clinkered coal bed—Identity and existence are certain. Location is approximate.,01.02.35 Clinkered coal bed—Identity and existence are certain. Location is approximate.,A-1-4,not applicable,not applicable,FGDC0071,ADUNN,1/19/2024 21:46,ADUNN,4/5/2024 15:20
72,01.02.36,Clinkered coal bed—Identity or existence are questionable. Location is approximate.,01.02.36 Clinkered coal bed—Identity or existence are questionable. Location is approximate.,A-1-4,not applicable,not applicable,FGDC0072,ADUNN,1/19/2024 21:46,ADUNN,4/5/2024 15:20
73,01.02.37,Clinkered coal bed—Identity and existence are certain. Location is inferred.,01.02.37 Clinkered coal bed—Identity and existence are certain. Location is inferred.,A-1-4,not applicable,not applicable,FGDC0073,ADUNN,1/19/2024 21:46,ADUNN,4/5/2024 15:20
74,01.02.38,Clinkered coal bed—Identity or existence are questionable. Location is inferred.,01.02.38 Clinkered coal bed—Identity or existence are questionable. Location is inferred.,A-1-4,not applicable,not applicable,FGDC0074,ADUNN,1/19/2024 21:46,ADUNN,4/5/2024 15:20
75,01.02.39,Clinkered coal bed—Identity and existence are certain. Location is concealed.,01.02.39 Clinkered coal bed—Identity and existence are certain. Location is concealed.,A-1-4,not applicable,not applicable,FGDC0075,ADUNN,1/19/2024 21:46,ADUNN,4/5/2024 15:20
76,01.02.40,Clinkered coal bed—Identity or existence are questionable. Location is concealed.,01.02.40 Clinkered coal bed—Identity or existence are questionable. Location is concealed.,A-1-4,not applicable,not applicable,FGDC0076,ADUNN,1/19/2024 21:46,ADUNN,4/5/2024 15:20
77,01.02.41,Area of clinkered coal bed.,01.02.41 Area of clinkered coal bed.,A-1-4,not applicable,not applicable,FGDC0077,ADUNN,1/19/2024 21:46,ADUNN,4/5/2024 15:20
78,01.02.42,Outcrop area of key bed or bed of economically important commodity (1st option).,01.02.42 Outcrop area of key bed or bed of economically important commodity (1st option).,A-1-4,not applicable,not applicable,FGDC0078,ADUNN,1/19/2024 21:46,ADUNN,4/5/2024 15:20
79,01.02.43,Outcrop area of key bed or bed of economically important commodity (2nd option).,01.02.43 Outcrop area of key bed or bed of economically important commodity (2nd option).,A-1-4,not applicable,not applicable,FGDC0079,ADUNN,1/19/2024 21:46,ADUNN,4/5/2024 15:20
80,01.02.44,Outcrop area of clay bed.,01.02.44 Outcrop area of clay bed.,A-1-4,not applicable,not applicable,FGDC0080,ADUNN,1/19/2024 21:46,ADUNN,4/5/2024 15:20
81,01.02.45,Outcrop area of coal bed.,01.02.45 Outcrop area of coal bed.,A-1-4,not applicable,not applicable,FGDC0081,ADUNN,1/19/2024 21:46,ADUNN,4/5/2024 15:20
82,01.03.01,Dike (1st option)—Identity and existence are certain. Location is accurate.,01.03.01 Dike (1st option)—Identity and existence are certain. Location is accurate.,A-1-5,not applicable,not applicable,FGDC0082,ADUNN,1/19/2024 21:46,ADUNN,4/5/2024 15:20
83,01.03.02,Dike (1st option)—Identity and existence are certain. Location is approximate.,01.03.02 Dike (1st option)—Identity and existence are certain. Location is approximate.,A-1-5,not applicable,not applicable,FGDC0083,ADUNN,1/19/2024 21:46,ADUNN,4/5/2024 15:20
84,01.03.03,Dike (2nd option)—Identity and existence are certain. Location is accurate.,01.03.03 Dike (2nd option)—Identity and existence are certain. Location is accurate.,A-1-5,not applicable,not applicable,FGDC0084,ADUNN,1/19/2024 21:46,ADUNN,4/5/2024 15:20
85,01.03.04,Dike (2nd option)—Identity and existence are certain. Location is approximate.,01.03.04 Dike (2nd option)—Identity and existence are certain. Location is approximate.,A-1-5,not applicable,not applicable,FGDC0085,ADUNN,1/19/2024 21:46,ADUNN,4/5/2024 15:20
86,01.03.05,Dike (3rd option)—Identity and existence are certain. Location is accurate.,01.03.05 Dike (3rd option)—Identity and existence are certain. Location is accurate.,A-1-5,not applicable,not applicable,FGDC0086,ADUNN,1/19/2024 21:46,ADUNN,4/5/2024 15:20
87,01.03.06,Dike (3rd option)—Identity and existence are certain. Location is approximate.,01.03.06 Dike (3rd option)—Identity and existence are certain. Location is approximate.,A-1-5,not applicable,not applicable,FGDC0087,ADUNN,1/19/2024 21:46,ADUNN,4/5/2024 15:20
88,01.03.07,Dike (4th option)—Identity and existence are certain. Location is accurate.,01.03.07 Dike (4th option)—Identity and existence are certain. Location is accurate.,A-1-5,not applicable,not applicable,FGDC0088,ADUNN,1/19/2024 21:46,ADUNN,4/5/2024 15:20
89,01.03.08,Dike (4th option)—Identity and existence are certain. Location is approximate.,01.03.08 Dike (4th option)—Identity and existence are certain. Location is approximate.,A-1-5,not applicable,not applicable,FGDC0089,ADUNN,1/19/2024 21:46,ADUNN,4/5/2024 15:20
90,01.03.09,Dike (5th option)—Identity and existence are certain. Location is accurate.,01.03.09 Dike (5th option)—Identity and existence are certain. Location is accurate.,A-1-5,not applicable,not applicable,FGDC0090,ADUNN,1/19/2024 21:46,ADUNN,4/5/2024 15:20
91,01.03.10,Dike (5th option)—Identity and existence are certain. Location is approximate.,01.03.10 Dike (5th option)—Identity and existence are certain. Location is approximate.,A-1-5,not applicable,not applicable,FGDC0091,ADUNN,1/19/2024 21:46,ADUNN,4/5/2024 15:20
92,01.03.11,Dike (6th option)—Identity and existence are certain. Location is accurate.,01.03.11 Dike (6th option)—Identity and existence are certain. Location is accurate.,A-1-5,not applicable,not applicable,FGDC0092,ADUNN,1/19/2024 21:46,ADUNN,4/5/2024 15:20
93,01.03.12,Dike (6th option)—Identity and existence are certain. Location is approximate.,01.03.12 Dike (6th option)—Identity and existence are certain. Location is approximate.,A-1-5,not applicable,not applicable,FGDC0093,ADUNN,1/19/2024 21:46,ADUNN,4/5/2024 15:20
94,01.03.13,Dike of variable thickness.,01.03.13 Dike of variable thickness.,A-1-5,not applicable,not applicable,FGDC0094,ADUNN,1/19/2024 21:46,ADUNN,4/5/2024 15:20
95,01.03.14,Dike intruding fault (1st option).,01.03.14 Dike intruding fault (1st option).,A-1-5,not applicable,not applicable,FGDC0095,ADUNN,1/19/2024 21:46,ADUNN,4/5/2024 15:20
96,01.03.15,Dike intruding fault (2nd option).,01.03.15 Dike intruding fault (2nd option).,A-1-5,not applicable,not applicable,FGDC0096,ADUNN,1/19/2024 21:46,ADUNN,4/5/2024 15:20
97,01.04.01,"Inclined contact, dike, key bed, clay bed, coal bed, or bed of economically important commodity (1st option)—Showing dip value and direction.","01.04.01 Inclined contact, dike, key bed, clay bed, coal bed, or bed of economically important commodity (1st option)—Showing dip value and direction.",A-1-6,dip direction,center,FGDC0097,ADUNN,1/19/2024 21:46,ADUNN,4/5/2024 15:20
98,01.04.02,"Inclined contact, dike, key bed, clay bed, coal bed, or bed of economically important commodity (2nd option)—Showing dip value and direction.","01.04.02 Inclined contact, dike, key bed, clay bed, coal bed, or bed of economically important commodity (2nd option)—Showing dip value and direction.",A-1-6,dip direction,center,FGDC0098,ADUNN,1/19/2024 21:46,ADUNN,4/5/2024 15:20
99,01.04.03,"Vertical or near-vertical contact, dike, key bed, clay bed, coal bed, or bed of economically important commodity (1st option).","01.04.03 Vertical or near-vertical contact, dike, key bed, clay bed, coal bed, or bed of economically important commodity (1st option).",A-1-6,strike,center,FGDC0099,ADUNN,1/19/2024 21:46,ADUNN,4/5/2024 15:20
100,01.04.05,"Overturned contact, dike, key bed, clay bed, coal bed, or bed of economically important commodity (1st option)—Showing dip value and direction.","01.04.05 Overturned contact, dike, key bed, clay bed, coal bed, or bed of economically important commodity (1st option)—Showing dip value and direction.",A-1-6,dip direction,center,FGDC0100,ADUNN,1/19/2024 21:46,ADUNN,4/5/2024 15:20
101,01.04.06,"Overturned contact, dike, key bed, clay bed, coal bed, or bed of economically important commodity (2nd option)—Showing dip value and direction.","01.04.06 Overturned contact, dike, key bed, clay bed, coal bed, or bed of economically important commodity (2nd option)—Showing dip value and direction.",A-1-6,dip direction,center,FGDC0101,ADUNN,1/19/2024 21:46,ADUNN,4/5/2024 15:20
102,01.04.07,"Lineation on surface of contact, dike, key bed, clay bed, coal bed, or bed of economically important commodity—Showing trend and plunge.","01.04.07 Lineation on surface of contact, dike, key bed, clay bed, coal bed, or bed of economically important commodity—Showing trend and plunge.",A-1-6,trend,tail,FGDC0102,ADUNN,1/19/2024 21:46,ADUNN,4/5/2024 15:20
103,01.04.09,"Contact—Showing relative age of intrusive or extrusive units where known: Y, younger; O, older.","01.04.09 Contact—Showing relative age of intrusive or extrusive units where known: Y, younger; O, older.",A-1-6,cartographic,center,FGDC0103,ADUNN,1/19/2024 21:46,ADUNN,4/5/2024 15:20
104,01.04.10,Contact—Showing location where contact is particularly well exposed in field.,01.04.10 Contact—Showing location where contact is particularly well exposed in field.,A-1-6,cartographic,tail,FGDC0104,ADUNN,1/19/2024 21:46,ADUNN,4/5/2024 15:20
105,01.04.11,"Key bed, clay bed, coal bed, bed of economically important commodity, or dike—Showing thickness and location where measured.","01.04.11 Key bed, clay bed, coal bed, bed of economically important commodity, or dike—Showing thickness and location where measured.",A-1-6,cartographic,tail,FGDC0105,ADUNN,1/19/2024 21:46,ADUNN,4/5/2024 15:20
106,02.01.01,"Fault (generic; vertical, subvertical, or high-angle; or unknown or unspecified orientation or sense of slip)—Identity and existence are certain. Location is accurate.","02.01.01 Fault (generic; vertical, subvertical, or high-angle; or unknown or unspecified orientation or sense of slip)—Identity and existence are certain. Location is accurate.",A-2-1,not applicable,not applicable,FGDC0106,ADUNN,1/19/2024 21:46,ADUNN,4/5/2024 15:20
107,02.01.02,"Fault (generic; vertical, subvertical, or high-angle; or unknown or unspecified orientation or sense of slip)—Identity or existence are questionable. Location is accurate.","02.01.02 Fault (generic; vertical, subvertical, or high-angle; or unknown or unspecified orientation or sense of slip)—Identity or existence are questionable. Location is accurate.",A-2-1,not applicable,not applicable,FGDC0107,ADUNN,1/19/2024 21:46,ADUNN,4/5/2024 15:20
108,02.01.03,"Fault (generic; vertical, subvertical, or high-angle; or unknown or unspecified orientation or sense of slip)—Identity and existence are certain. Location is approximate.","02.01.03 Fault (generic; vertical, subvertical, or high-angle; or unknown or unspecified orientation or sense of slip)—Identity and existence are certain. Location is approximate.",A-2-1,not applicable,not applicable,FGDC0108,ADUNN,1/19/2024 21:46,ADUNN,4/5/2024 15:20
